City,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Country
butaritari,84.52,76,100,11.95,3.07,172.79,KI
sitka,43.07,56,75,8.05,57.05,-135.33,US
kindu,69.22,85,97,0.78,-2.95,25.95,CD
goleniow,37.15,80,30,2.24,53.56,14.83,PL
torbay,32.23,47,20,11.41,47.67,-52.73,CA
chuy,60.48,83,30,9.48,-33.7,-53.46,UY
vardo,21.2,79,82,17.22,70.37,31.11,NO
rikitea,76.6,68,100,8.63,-23.12,-134.97,PF
nikolskoye,34.93,74,7,8.95,59.7,30.79,RU
hermanus,59.25,96,87,1.99,-34.42,19.23,ZA
ostrovnoy,18.46,94,100,17.13,68.05,39.51,RU
altagracia de orituco,80.37,56,100,2.75,9.86,-66.38,VE
punta arenas,60.8,59,40,12.75,-53.15,-70.92,CL
jamestown,34.92,86,90,17.2,42.1,-79.24,US
busselton,66.88,68,82,12.33,-33.65,115.33,AU
hilo,72.52,69,75,10.29,19.73,-155.09,US
bluff,57.0,81,55,5.99,-46.6,168.33,NZ
albany,43.29,49,40,24.16,42.6,-73.97,US
atuona,82.74,79,75,12.71,-9.8,-139.03,PF
sao joao da barra,75.2,69,95,6.93,-21.64,-41.05,BR
gornopravdinsk,25.36,97,0,9.4,60.05,69.9,RU
namibe,76.1,52,0,10.51,-15.2,12.15,AO
port alfred,66.2,76,61,6.6,-33.59,26.89,ZA
kaya,85.68,31,98,9.37,13.09,-1.08,BF
shupiyan,44.17,43,96,2.46,33.72,74.83,IN
gusev,36.16,80,0,5.88,54.59,22.2,RU
provideniya,14.0,66,93,8.95,64.38,-173.3,RU
nyurba,38.5,79,0,10.11,63.28,118.33,RU
kwakoa,68.2,74,84,3.71,-3.77,37.72,TZ
avarua,86.0,89,99,10.29,-21.21,-159.78,CK
kapaa,77.16,65,90,8.05,22.08,-159.32,US
vaini,80.6,57,20,11.41,-21.2,-175.2,TO
yellowknife,23.43,85,90,10.29,62.46,-114.35,CA
qasigiannguit,28.4,46,0,5.82,68.82,-51.19,GL
mar del plata,60.76,82,75,4.7,-38.0,-57.56,AR
poum,77.63,75,13,11.86,-20.23,164.02,NC
castro,56.37,54,0,1.86,-24.79,-50.01,BR
longyearbyen,8.6,60,40,10.29,78.22,15.64,SJ
alice town,81.82,73,5,14.88,25.72,-79.3,BS
north bend,61.52,76,1,25.28,43.41,-124.22,US
fortuna,58.42,72,20,17.22,40.6,-124.16,US
hami,56.3,24,0,16.15,42.8,93.45,CN
ponta do sol,62.15,72,20,8.05,32.67,-17.1,PT
tambopata,75.24,70,90,3.53,-12.73,-69.18,PE
alta floresta,74.5,86,48,1.57,-9.88,-56.09,BR
mataura,57.0,81,48,5.99,-46.19,168.86,NZ
margate,50.22,93,5,3.36,51.38,1.39,GB
ushuaia,62.6,48,61,4.7,-54.8,-68.3,AR
bonavista,30.99,71,5,3.0,48.65,-53.11,CA
bredasdorp,55.2,66,96,4.7,-34.53,20.04,ZA
yinchuan,45.77,28,77,14.52,38.47,106.27,CN
esso,23.36,87,100,4.38,55.93,158.7,RU
raudeberg,36.9,55,98,4.7,61.99,5.14,NO
ilulissat,28.4,46,0,5.82,69.22,-51.1,GL
dzaoudzi,82.4,83,4,4.7,-12.79,45.27,YT
tuktoyaktuk,8.6,84,40,18.34,69.45,-133.04,CA
saldanha,60.8,82,84,3.36,-33.01,17.94,ZA
kodiak,39.2,48,1,4.7,57.79,-152.41,US
kavieng,83.55,73,72,2.8,-2.57,150.8,PG
tessalit,83.19,11,99,8.08,20.2,1.01,ML
nuuk,41.0,38,100,2.24,64.18,-51.72,GL
qaanaaq,7.0,86,72,9.06,77.48,-69.36,GL
esfarayen,37.4,74,96,4.7,37.08,57.51,IR
khatanga,19.22,92,82,29.68,71.97,102.5,RU
pirgos,55.51,71,40,14.99,35.12,25.72,GR
conde,82.4,83,43,6.93,-7.26,-34.91,BR
westport,49.03,46,20,25.28,41.14,-73.36,US
san patricio,86.16,38,0,7.0,19.22,-104.7,MX
mahebourg,77.29,78,40,6.93,-20.41,57.7,MU
severo-kurilsk,30.58,94,96,3.47,50.68,156.12,RU
okha,27.48,94,15,15.14,53.57,142.95,RU
luanda,80.6,78,20,9.17,-8.84,13.23,AO
esmeralda,77.67,68,0,3.65,21.85,-78.12,CU
luxor,66.2,48,36,9.98,25.7,32.64,EG
mizdah,52.74,45,0,10.85,31.45,12.98,LY
vila franca do campo,59.0,87,20,5.82,37.72,-25.43,PT
guerrero negro,62.42,55,0,19.28,27.98,-114.06,MX
beloha,69.55,78,82,17.25,-25.17,45.05,MG
bengkulu,78.42,79,79,4.12,-3.8,102.27,ID
dwarka,76.71,84,0,10.78,22.24,68.97,IN
dikson,10.72,95,100,19.1,73.51,80.55,RU
barrow,-5.8,83,1,13.87,71.29,-156.79,US
honningsvag,28.63,92,100,25.05,70.98,25.97,NO
saskylakh,22.46,91,34,17.98,71.92,114.08,RU
port elizabeth,59.0,93,63,3.36,-33.92,25.57,ZA
kieta,85.51,69,46,3.87,-6.22,155.63,PG
grand gaube,76.39,78,40,6.93,-20.01,57.66,MU
puerto ayora,82.09,74,40,11.41,-0.74,-90.35,EC
houma,84.79,74,75,8.05,29.6,-90.72,US
kabare,60.66,56,93,1.81,-2.47,28.82,CD
vila velha,70.74,88,75,3.36,-20.33,-40.29,BR
lagoa,61.16,78,100,8.88,39.05,-27.98,PT
hobart,58.59,67,75,11.41,-42.88,147.33,AU
ileza,33.35,92,100,6.26,61.05,43.9,RU
celestun,82.2,72,32,13.38,20.87,-90.4,MX
bilibino,-0.11,82,98,2.91,68.05,166.44,RU
